Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
30646477,"Earth Alone (Earthrise, #1)",Daniel Arenson,"Arenson, Daniel",,"=""1927601622""","=""""",5,3.88,Moonclipse,Kindle Edition,368,2016,,,2024/09/14,,,read,,,,1,0
25529518,Poseidon's Wake (Poseidon's Children Book 3),Alastair Reynolds,"Reynolds, Alastair",,"=""""","=""""",5,3.82,Ace,Kindle Edition,598,2016,2015,,2024/09/14,,,read,,,,1,0
30168594,Oath of Fealty,Larry Niven,"Niven, Larry",Jerry Pournelle,"=""1612422985""","=""9781612422985""",5,3.73,Phoenix Pick,Kindle Edition,238,2016,2018,,2024/09/14,,,read,,,,1,0
22886612,"Nemesis Games (The Expanse, #5)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",5,4.44,Orbit,Kindle Edition,536,2015,2015,,2024/09/14,,,read,,,,1,0
30074185,Fringe Runner (Fringe #1),Rachel Aukes,"Aukes, Rachel",,"=""""","=""""",5,3.81,Waypoint Books,Kindle Edition,264,2016,2016,,2024/09/14,,,read,,,,1,0
30819694,Fear God and Dread Naught (Ark Royal #8),Christopher G. Nuttall,"Nuttall, Christopher G.",Justin Adams,"=""""","=""""",5,4.13,,Kindle Edition,404,2016,,,2024/09/14,,,read,,,,1,0
27275266,The Long Cosmos (Long Earth #5),Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""""","=""""",5,3.91,Harper,Kindle Edition,405,2016,2016,,2024/09/14,,,read,,,,1,0
29877975,"The Sentinel (The Sentinel Trilogy, #1)",Michael  Wallace,"Wallace, Michael",,"=""""","=""""",5,3.87,Balsalom Publishing,Kindle Edition,158,2016,2016,,2024/09/14,,,read,,,,1,0
27846713,"Warrior (Legacy Fleet Trilogy, #2)",Nick Webb,"Webb, Nick",,"=""""","=""""",5,4.13,,Kindle Edition,378,2015,2015,,2024/09/14,,,read,,,,1,0
29475233,"Victory (Legacy Fleet Trilogy, #3)",Nick Webb,"Webb, Nick",,"=""""","=""""",5,4.20,,Kindle Edition,387,2016,,,2024/09/14,,,read,,,,1,0
26811735,"The Vital Abyss (Expanse, #5.5)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",5,3.90,Orbit,Kindle Edition,71,2015,2015,,2024/09/14,,,read,,,,1,0
25879774,The Great Symmetry,James R. Wells,"Wells, James R.",,"=""""","=""""",5,3.89,Travertine Books,Kindle Edition,284,2015,2015,,2024/09/14,,,read,,,,1,0
